form,sound,meaning,type,etymology
夜,ye4,"variant of 夜[ye4]",ideographic,"A person 亻 sneaking by under cover 亠 of night 夕"
亳,bo2,"name of district in Anhui; capital of Yin",,
亶,dan3,"surname Dan",pictophonetic,
亶,dan3,"sincere",pictophonetic,
廉,lian2,"old variant of 廉[lian2]",,
亹,men2,"mountain pass; defile (archaic)",,
亹,wei3,"resolute",,
人,ren2,"person; people; CL:個|个[ge4],位[wei4]",pictographic,"The legs of a human being"
亻,ren2,"""person"" radical in Chinese characters (Kangxi radical 9)",ideographic,"Visual abbreviation of 人"
亼,ji2,"variant of 集[ji2]",,
亡,wang2,"old variant of 亡[wang2]",ideographic,"A man 人 in a coffin; see 亾"
什,shen2,"what",ideographic,"A file of ten 十 people 亻"
什,shi2,"ten (used in fractions, writing checks etc); assorted; miscellaneous",ideographic,"A file of ten 十 people 亻"
仁,ren2,"humane; kernel",ideographic,"A caring relationship between two 二 people 亻"
仂,le4,"surplus; tithe",pictophonetic,
仃,ding1,"used in 伶仃[ling2ding1]",pictophonetic,"person"
仄,ze4,"to tilt; narrow; uneasy; oblique tones (in Chinese poetry)",ideographic,"A man 人 taking shelter in a lean-to 厂"
仆,pu1,"to fall forward; to fall prostrate",pictophonetic,"person"
仇,qiu2,"surname Qiu",pictophonetic,"person"
仇,chou2,"hatred; animosity; enmity; foe; enemy; to feel animosity toward (the wealthy, foreigners etc)",pictophonetic,"person"
仇,qiu2,"spouse; companion",pictophonetic,"person"
仉,zhang3,"surname Zhang",,
今,jin1,"now; the present time; current; contemporary; this (day, year etc)",ideographic,"A mouth 亼 talking about things"
介,jie4,"to introduce; to lie between; between; shell; armor",ideographic,"A border 八 dividing people 人"
仌,bing1,"old variant of 冰[bing1]",ideographic,"Old variant of 冰 (""ice-water"")"
仍,reng2,"still; yet; to remain; (literary) frequently; often",pictophonetic,"then"
从,cong2,"variant of 從|从[cong2]",ideographic,"One person 人 following another"
仔,zai3,"variant of 崽[zai3]; (dialect) (bound form) young man",ideographic,"A person 亻 keeping watch over a child 子; 子 also provides the pronunciation"
仔,zi1,"used in 仔肩[zi1 jian1]",ideographic,"A person 亻 keeping watch over a child 子; 子 also provides the pronunciation"
仔,zi3,"(bound form) (of domestic animals or fowl) young; (bound form) fine; detailed",ideographic,"A person 亻 keeping watch over a child 子; 子 also provides the pronunciation"
仕,shi4,"to serve as an official; an official; the two chess pieces in Chinese chess guarding the ""general"" or ""king"" 將|将[jiang4]",pictophonetic,"person"
他,ta1,"he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other",ideographic,"An additional, ""also"" 也  person 亻"
仗,zhang4,"weaponry; to hold (a weapon); to wield; to rely on; to depend on; war; battle",pictophonetic,"person"
付,fu4,"surname Fu",ideographic,"To hand 寸 something over to someone 亻 "
付,fu4,"to pay; to hand over to; classifier for pairs or sets of things",ideographic,"To hand 寸 something over to someone 亻 "
仙,xian1,"immortal",pictophonetic,"person"
仝,tong2,"variant of 同[tong2] (used as a surname and in given names)",pictophonetic,"person"
仞,ren4,"(measure)",pictophonetic,
仟,qian1,"thousand (banker's anti-fraud numeral)",pictophonetic,"people"
仡,ge1,"used in 仡佬族[Ge1 lao3 zu2], Gelao or Klau ethnic group of Guizhou; Taiwan pr. [qi4]",,
仡,yi4,"strong; brave",,
代,dai4,"to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon",ideographic,"A man 亻 caught 弋 by the passing of time"
令,ling2,"used in 脊令[ji2 ling2]; used in 令狐[Ling2 hu2] (Taiwan pr. [ling4])",ideographic,"A person kneeling before a master 人"
令,ling3,"classifier for a ream of paper",ideographic,"A person kneeling before a master 人"
令,ling4,"to order; to command; an order; warrant; writ; to cause; to make sth happen; virtuous; honorific title; season; government position (old); type of short song or poem",ideographic,"A person kneeling before a master 人"
以,yi3,"abbr. for Israel 以色列[Yi3 se4 lie4]",,
以,yi3,"to use; by means of; according to; in order to; because of; at (a certain date or place)",,
仨,sa1,"three (colloquial equivalent of 三個|三个)",pictophonetic,"three"
仫,mu4,"used in 仫佬族[Mu4 lao3 zu2], Mulao ethnic group of Guangxi",pictophonetic,"people"
仰,yang3,"surname Yang",ideographic,"To exalt 卬 a person 亻"
仰,yang3,"to face upward; to look up; to admire; to rely on",ideographic,"To exalt 卬 a person 亻"
仲,zhong4,"surname Zhong",ideographic,"The middle 中 person 亻; 中 also provides the pronunciation"
仲,zhong4,"second month of a season; middle; intermediate; second amongst brothers",ideographic,"The middle 中 person 亻; 中 also provides the pronunciation"
仳,pi3,"to part",pictophonetic,"person"
仵,wu3,"surname Wu",pictophonetic,
仵,wu3,"equal; well-matched; to violate",pictophonetic,
件,jian4,"item; component; classifier for events, things, clothes etc",ideographic,"A man 亻 dividing up a cow 牛"
任,ren2,"surname Ren; Ren County 任縣|任县[Ren2 Xian4] in Hebei",pictophonetic,"person"
任,ren4,"to assign; to appoint; to take up a post; office; responsibility; to let; to allow; to give free rein to; no matter (how, what etc); classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)",pictophonetic,"person"
份,fen4,"classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]",ideographic,"The lot or portion 分 allotted to a man 亻"
仿,fang3,"to imitate; to copy",pictophonetic,"to imitate a person"
企,qi3,"(bound form) to stand on tiptoe and look; to anticipate; to look forward to; abbr. for 企業|企业[qi3ye4]; Taiwan pr. [qi4]",ideographic,"A man 人 on his feet 止; 止 also provides the pronunciation"
伄,diao4,"used in 伄儅[diao4 dang1]",pictophonetic,"person"
伉,kang4,"spouse; big and tall; strong; robust; upright and outspoken",pictophonetic,"person"
伊,yi1,"surname Yi; abbr. for 伊拉克[Yi1la1ke4], Iraq; abbr. for 伊朗[Yi1lang3], Iran",pictophonetic,"person"
伊,yi1,"(old) third person singular pronoun (""he"" or ""she""); second person singular pronoun (""you""); (May 4th period) third person singular feminine pronoun (""she""); (Classical Chinese) introductory particle with no specific meaning; that (preceding a noun)",pictophonetic,"person"
伍,wu3,"surname Wu",ideographic,"Five 五 people 亻; 五 also provides the pronunciation"
伍,wu3,"squad of five soldiers; to associate with; five (banker's anti-fraud numeral)",ideographic,"Five 五 people 亻; 五 also provides the pronunciation"
伎,ji4,"artistry; talent; skill; (in ancient times) female entertainer",ideographic,"A man 亻 who can support 支 someone"
伏,fu2,"surname Fu",ideographic,"A person 亻 acting like a dog 犬"
伏,fu2,"to lean over; to fall (go down); to hide (in ambush); to conceal oneself; to lie low; hottest days of summer; to submit; to concede defeat; to overcome; to subdue; volt",ideographic,"A person 亻 acting like a dog 犬"
伐,fa2,"to cut down; to fell; to dispatch an expedition against; to attack; to boast; Taiwan pr. [fa1]",ideographic,"A person 亻 attacked 戈"
休,xiu1,"surname Xiu",ideographic,"A person 亻 leaning against a tree 木"
休,xiu1,"to rest; to stop doing sth for a period of time; to cease; (imperative) don't",ideographic,"A person 亻 leaning against a tree 木"
伕,fu1,"variant of 夫[fu1]",ideographic,"A working 夫 man 亻; 夫 also provides the pronunciation"
伙,huo3,"meals (abbr. for 伙食[huo3 shi2]); variant of 夥|伙[huo3]",pictophonetic,"person"
伢,ya2,"(dialect) child",pictophonetic,"person"
伯,ba4,"variant of 霸[ba4]",pictophonetic,"person"
伯,bai3,"one hundred (old)",pictophonetic,"person"
伯,bo2,"father's elder brother; senior; paternal elder uncle; eldest of brothers; respectful form of address; Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",pictophonetic,"person"
估,gu1,"to estimate",pictophonetic,"person"
估,gu4,"used in 估衣[gu4yi5]",pictophonetic,"person"
伲,ni3,"variant of 你[ni3]",pictophonetic,"people"
伲,ni4,"(dialect) I; my; we; our",pictophonetic,"people"
伴,ban4,"partner; companion; comrade; associate; to accompany",pictophonetic,"person"
伶,ling2,"(old) actor; actress; (meaningless bound form)",pictophonetic,"person"
伸,shen1,"to stretch; to extend",ideographic,"To extend your confidence 申 to another person 亻; 申 also provides the pronunciation"
伺,ci4,"used in 伺候[ci4hou5]",pictophonetic,"person"
伺,si4,"to watch; to wait; to examine; to spy",pictophonetic,"person"
似,shi4,"used in 似的[shi4de5]",ideographic,"One person 亻 resembles another"
似,si4,"to seem; to appear; to resemble; similar; -like; pseudo-; (more) than",ideographic,"One person 亻 resembles another"
伽,jia1,"traditionally used as phonetic for ""ga""; also pr. [ga1]; also pr. [qie2]",pictophonetic,"person"
伾,pi1,"multitudinous; powerful",ideographic,"A great 丕 man 亻; 丕 also provides the pronunciation"
似,si4,"old variant of 似[si4]",ideographic,"One person 亻 resembles another"
佃,dian4,"to rent farmland from a landlord",ideographic,"A person 亻 on the farm 田; 田 also provides the pronunciation"
佃,tian2,"to cultivate; to hunt",ideographic,"A person 亻 on the farm 田; 田 also provides the pronunciation"
但,dan4,"but; yet; however; still; merely; only; just",pictophonetic,
伫,zhu4,"to stand for a long time; to wait; to look forward to; to accumulate",,
