form,sound,meaning,type,etymology
岔,cha4,"fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)",ideographic,"A road being split 分 by a mountain 山"
岜,ba1,"stony hill; rocky mountain; (used in place names)",pictophonetic,"mountain"
冈,gang1,"ridge; mound",pictographic,"Simplified form of 岡, clouds 网 forming over a mountain 山"
岢,ke3,"used in 岢嵐|岢岚[Ke3 lan2]",pictophonetic,"mountain"
岣,gou3,"name of a hill in Hunan",pictophonetic,"mountain"
岩,yan2,"cliff; rock",ideographic,"The rocks 石 that make up a mountain 山"
岫,xiu4,"cave; mountain peak",pictophonetic,"mountain"
岬,jia3,"cape (geography); headland",pictophonetic,"mountain"
岭,ling2,"used in 岭巆|岭𫶕[ling2ying2]",pictophonetic,"mountain"
岱,dai4,"Mt Tai in Shandong; same as 泰山",pictophonetic,"mountain"
岳,yue4,"surname Yue",ideographic,"A mountain 山 range surrounded by hills 丘"
岳,yue4,"wife's parents and paternal uncles",ideographic,"A mountain 山 range surrounded by hills 丘"
岵,hu4,"(literary) mountain covered with vegetation",pictophonetic,"mountain"
岷,min2,"name of a river in Sichuan",pictophonetic,"mountain"
岸,an4,"bank; shore; beach; coast",ideographic,"A mountain 山 cliff 厂; 干 provides the pronunciation"
峁,mao3,"round yellow dirt mount (in the Northwest of China)",pictophonetic,"mountain"
峇,ba1,"(used in transliteration)",pictophonetic,"mountain"
峇,ke1,"cave",pictophonetic,"mountain"
峇,ke4,"cave; cavern; also pr. [ke1]",pictophonetic,"mountain"
峋,xun2,"ranges of hills",pictophonetic,"mountain"
峒,dong4,"cave; cavern",pictophonetic,"mountain"
峒,tong2,"name of a mountain",pictophonetic,"mountain"
峙,shi4,"used in 繁峙[Fan2 shi4]",pictophonetic,"mountain"
峙,zhi4,"(literary) to tower aloft",pictophonetic,"mountain"
峒,tong2,"variant of 峒[tong2]",pictophonetic,"mountain"
峨,e2,"lofty; name of a mountain",pictophonetic,"mountain"
峨,e2,"variant of 峨[e2]",pictophonetic,"mountain"
峪,yu4,"valley",ideographic,"A mountain 山 by a valley 谷; 谷 also provides the pronunciation"
峭,qiao4,"high and steep; precipitous; severe or stern",pictophonetic,"mountain"
峰,feng1,"old variant of 峰[feng1]",pictophonetic,"mountain"
峰,feng1,"(of a mountain) high and tapered peak or summit; mountain-like in appearance; highest level; classifier for camels",pictophonetic,"mountain"
岘,xian4,"abbr. for 峴首山|岘首山[Xian4 shou3 shan1]; Mt Xianshou in Hubei; steep hill; used in place names",ideographic,"A mountain 山 that affords a good view 见; 见 also provides the pronunciation"
岛,dao3,"island; CL:個|个[ge4],座[zuo4]",ideographic,"A bird 鸟 perched atop a mountain 山"
峻,jun4,"(of mountains) high; harsh or severe",pictophonetic,"mountain"
峡,xia2,"gorge",ideographic,"The space between 夹 two mountains 山; 夹 also provides the pronunciation"
崆,kong1,"name of a mountain",pictophonetic,"mountain"
崇,chong2,"surname Chong",pictophonetic,"mountain"
崇,chong2,"high; sublime; lofty; to esteem; to worship",pictophonetic,"mountain"
崃,lai2,"name of a mountain in Sichuan",pictophonetic,"mountain"
崎,qi2,"mountainous",pictophonetic,"mountain"
昆,kun1,"variant of 崑|昆[kun1]",ideographic,"Two brothers 比 under the son 日"
昆,kun1,"used in place names, notably Kunlun Mountains 崑崙|昆仑[Kun1 lun2]; (also used for transliteration)",ideographic,"Two brothers 比 under the son 日"
崒,cui4,"to come together; to bunch up; to concentrate",pictophonetic,"mountain"
崒,zu2,"rocky peaks; lofty and dangerous",pictophonetic,"mountain"
崔,cui1,"surname Cui",ideographic,"A bird 隹 faced with a mountain 山"
崔,cui1,"(literary) (of mountains) lofty",ideographic,"A bird 隹 faced with a mountain 山"
崖,ya2,"precipice; cliff; Taiwan pr. [yai2]",ideographic,"A mountain 山 precipice 厓; 厓 also provides the pronunciation"
岗,gang1,"variant of 岡|冈 [gang1]",pictophonetic,"mountain"
岗,gang3,"(bound form) hillock; mound; sentry post; policeman's beat; (bound form) job; post",pictophonetic,"mountain"
仑,lun2,"variant of 崙|仑[lun2]",,
仑,lun2,"used in 崑崙|昆仑[Kun1 lun2]",,
崛,jue2,"towering as a peak",pictophonetic,"mountain"
崞,guo1,"name of a mountain",pictophonetic,"mountain"
峥,zheng1,"excel; lofty",pictophonetic,"mountain"
崤,xiao2,"name of a mountain in Henan; also pr. [Yao2]",pictophonetic,"mountain"
崦,yan1,"name of a mountain in Gansu",pictophonetic,"mountain"
崧,song1,"variant of 嵩[song1]",pictophonetic,"mountain"
崩,beng1,"to collapse; to fall into ruins; death of king or emperor; demise",pictophonetic,"mountain"
岽,dong1,"place name in Guangxi province",pictophonetic,"mountain"
崮,gu4,"steep-sided flat-topped mountain; mesa; (element in mountain names)",pictophonetic,"mountain"
崴,wai3,"to sprain (one's ankle); see 崴子[wai3 zi5]",pictophonetic,"mountain"
崴,wei1,"high, lofty; precipitous",pictophonetic,"mountain"
崽,zai3,"child; young animal",,
崾,yao3,"(name of a mountain)",pictophonetic,"mountain"
嵇,ji1,"surname Ji; name of a mountain",pictophonetic,"mountain"
嵊,sheng4,"name of a district in Zhejiang",pictophonetic,"mountain"
嵋,mei2,"used in 峨嵋山[E2 mei2 Shan1]",pictophonetic,"mountain"
嵌,kan3,"see 赤嵌樓|赤嵌楼[Chi4 kan3 lou2]",pictophonetic,"mountain"
嵌,qian4,"to inlay; to embed; Taiwan pr. [qian1]",pictophonetic,"mountain"
岚,lan2,"(bound form) mountain mist",ideographic,"Wind 风 blowing off the mountain 山"
岩,yan2,"variant of 巖|岩[yan2]",ideographic,"The rocks 石 that make up a mountain 山"
岁,sui4,"variant of 歲|岁[sui4], year; years old",,
嵛,yu2,"place name in Shandong",pictophonetic,"mountain"
嵞,tu2,"Mt Tu in Zhejiang; also written 涂",pictophonetic,"mountain"
嵩,song1,"lofty; Mt Song in Henan",ideographic,"A tall 高 mountain 山"
嵫,zi1,"see 崦嵫[Yan1 zi1]",pictophonetic,"mountain"
嵬,wei2,"rocky",pictophonetic,"mountain"
嵯,cuo2,"lofty (as of mountain)",pictophonetic,"mountain"
嵴,ji2,"ridge; crest; apex",ideographic,"The spine 脊 of a mountain 山 range; 脊 also provides the pronunciation"
嵝,lou3,"mountain peak",pictophonetic,"mountain"
嶂,zhang4,"cliff; range of peaks",pictophonetic,"mountain"
崭,chan2,"variant of 嶄|崭[chan2]",pictophonetic,"mountain"
崭,zhan3,"variant of 嶄|崭[zhan3]",pictophonetic,"mountain"
崭,chan2,"(literary) precipitous (variant of 巉[chan2])",pictophonetic,"mountain"
崭,zhan3,"towering; prominent; very; extremely; (dialect) marvelous; excellent",pictophonetic,"mountain"
岖,qu1,"rugged",pictophonetic,"mountain"
崂,lao2,"name of a mountain in Shandong",pictophonetic,"mountain"
嶙,lin2,"ranges of hills",pictophonetic,"mountain"
嶝,deng4,"path leading up a mountain",ideographic,"A road that climbs 登 a mountain 山; 登 also provides the pronunciation"
峤,jiao4,"highest peak",ideographic,"A tall 乔 mountain 山; 乔 also provides the pronunciation"
嶡,gui4,"precipitous; mountainous",pictophonetic,"mountain"
嶡,jue2,"sacrificial vessel",pictophonetic,"mountain"
峄,yi4,"name of hills in Shandong",pictophonetic,"mountain"
嶪,ye4,"see 岌嶪[ji2 ye4]",pictophonetic,"mountain"
岙,ao4,"plain in the middle of the mountains; used in place names, esp. in 浙江[Zhe4 jiang1] and 福建[Fu2 jian4]",pictophonetic,"mountain"
嶷,yi2,"name of a mountain in Hunan",pictophonetic,"mountain"
嵘,rong2,"lofty",pictophonetic,"mountain"
岭,ling3,"mountain range; mountain ridge",pictophonetic,"mountain"
屿,yu3,"islet",pictophonetic,"mountain"
岳,yue4,"surname Yue",ideographic,"A mountain 山 range surrounded by hills 丘"
岳,yue4,"high mountain; highest peak of a mountain ridge",ideographic,"A mountain 山 range surrounded by hills 丘"
巂,gui1,"cuckoo; revolution of a wheel",pictophonetic,"hot"
巂,xi1,"place name in Sichuan",pictophonetic,"hot"
岿,kui1,"high and mighty (of mountain); hilly",pictophonetic,"mountain"
巍,wei1,"lofty; towering; Taiwan pr. [wei2]",pictophonetic,"mountain"
峦,luan2,"mountain ranges",pictophonetic,"mountain"
巅,dian1,"summit",ideographic,"The top 颠 of a mountain 山; 颠 also provides the pronunciation"
岩,yan2,"variant of 岩[yan2]",ideographic,"The rocks 石 that make up a mountain 山"
岩,yan2,"variant of 巖|岩[yan2]",ideographic,"The rocks 石 that make up a mountain 山"
巛,chuan1,"archaic variant of 川[chuan1]",pictographic,"A river flowing"
川,chuan1,"abbr. for Sichuan Province 四川[Si4 chuan1] in southwest China",ideographic,"A river's flow; compare 巛"
川,chuan1,"(bound form) river; creek; plain; an area of level country",ideographic,"A river's flow; compare 巛"
州,zhou1,"prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland)",ideographic,"Islands within a river 川"
巠,jing1,"underground watercourse; archaic variant of 經|经[jing1]",pictophonetic,"river"
巡,xun2,"to patrol; to make one's rounds; classifier for rounds of drinks",ideographic,"To walk 辶 by the river 巛; 巛 also provides the pronunciation"
巢,chao2,"surname Chao",ideographic,"A nest 巛田 built in a tree 木"
巢,chao2,"nest",ideographic,"A nest 巛田 built in a tree 木"
巤,lie4,"old variant of 鬣[lie4]",ideographic,"A mouse's 鼠 whiskers 巛"
工,gong1,"work; worker; skill; profession; trade; craft; labor",pictographic,"A spade or other workman's tool"
左,zuo3,"surname Zuo",pictographic,"A left hand; compare 又"
左,zuo3,"left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐[zuo3]",pictographic,"A left hand; compare 又"
巧,qiao3,"opportunely; coincidentally; as it happens; skillful; timely",pictophonetic,"work"
巨,ju4,"very large; huge; tremendous; gigantic",ideographic,"A hand holding a large carpenter's square 工"
巫,wu1,"surname Wu; also pr. [Wu2]",pictographic,"A cross-shaped divining rod"
巫,wu1,"witch; wizard; shaman; also pr. [wu2]",pictographic,"A cross-shaped divining rod"
差,cha1,"difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly",ideographic,"Work 工 done by a sheep 羊; incompetence"
差,cha4,"different; wrong; mistaken; to fall short; to lack; not up to standard; inferior; Taiwan pr. [cha1]",ideographic,"Work 工 done by a sheep 羊; incompetence"
差,chai1,"to send (on an errand); (archaic) person sent on such an errand; job; official post",ideographic,"Work 工 done by a sheep 羊; incompetence"
差,ci1,"used in 參差|参差[cen1ci1]",ideographic,"Work 工 done by a sheep 羊; incompetence"
巯,qiu2,"hydrosulfuryl",pictophonetic,
己,ji3,"self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter ""F"" or Roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc; hexa",pictographic,"A loom woven with thread"
已,yi3,"already; to stop; then; afterwards",,
巳,si4,"6th earthly branch: 9-11 a.m., 4th solar month (5th May-5th June), year of the Snake; ancient Chinese compass point: 150°",,
巴,ba1,"Ba state during Zhou dynasty (in east of modern Sichuan); abbr. for east Sichuan or Chongqing; surname Ba; abbr. for Palestine or Palestinian; abbr. for Pakistan",,
巴,ba1,"to long for; to wish; to cling to; to stick to; sth that sticks; close to; next to; spread open; informal abbr. for bus 巴士[ba1 shi4]; bar (unit of pressure); nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail",,
卮,zhi1,"old variant of 卮[zhi1]",,
巷,xiang4,"lane; alley",,
卺,jin3,"nuptial wine cup",pictophonetic,"seal"
巽,xun4,"to obey; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing wood and wind; ☴; ancient Chinese compass point: 135° (southeast)",,
巾,jin1,"towel; general purpose cloth; women's headcovering (old); Kangxi radical 50",pictographic,"A curtain or towel hanging from a rack"
巿,fu2,"see 韍|韨[fu2]",ideographic,"A belt 一 made of cloth 巾"
匝,za1,"variant of 匝[za1]",,
市,shi4,"market; city; CL:個|个[ge4]",,
布,bu4,"cloth; to declare; to announce; to spread; to make known",ideographic,"Cloth 巾 held in a hand"
帆,fan1,"sail; Taiwan pr. [fan2], except 帆布[fan1 bu4] canvas",pictophonetic,"cloth"
纸,zhi3,"variant of 紙|纸[zhi3]",pictophonetic,"silk"
希,xi1,"to hope; to admire; variant of 稀[xi1]",,
帑,tang3,"state treasury; public funds",ideographic,"Records kept on cloth 巾 by servants 奴"
帔,pei4,"cape",pictophonetic,"cloth"
帕,pa4,"to wrap; kerchief; handkerchief; headscarf; pascal (SI unit)",ideographic,"A scarf 巾 used to maintain a girl's purity 巾"
帖,tie1,"fitting snugly; appropriate; suitable; variant of 貼|贴[tie1]; to paste; to obey",ideographic,"Writing on a cloth 巾"
帖,tie3,"invitation card; notice",ideographic,"Writing on a cloth 巾"
帖,tie4,"rubbing from incised inscription",ideographic,"Writing on a cloth 巾"
帘,lian2,"flag used as a shop sign; variant of 簾|帘[lian2]",ideographic,"A curtain 巾 at the entrance to a cave 穴"
帙,zhi4,"surname Zhi",pictophonetic,"curtain"
帙,zhi4,"book cover",pictophonetic,"curtain"
帚,zhou3,"broom",pictographic,"A hand 巾 holding a broom with the head 彐 held up"
帛,bo2,"silk",pictophonetic,"cloth"
帝,di4,"emperor",pictographic,"An altar on which a sacrifice is being made"
帅,shuai4,"surname Shuai",ideographic,"An army officer carrying a weapon 刂 and a flag 巾"
帅,shuai4,"(bound form) commander-in-chief; (bound form) to lead; to command; handsome; graceful; dashing; elegant; (coll.) cool!; sweet!; (Chinese chess) general (on the red side, equivalent to a king in Western chess)",ideographic,"An army officer carrying a weapon 刂 and a flag 巾"
师,shi1,"surname Shi",ideographic,"To skillfully wield 帀 a knife 刂"
师,shi1,"teacher; master; expert; model; army division; (old) troops; to dispatch troops",ideographic,"To skillfully wield 帀 a knife 刂"
裙,qun2,"old variant of 裙[qun2]",pictophonetic,"clothes"
席,xi2,"surname Xi",ideographic,"A cloth 巾 or straw 艹 mat in the house 广"
席,xi2,"woven mat; seat; banquet; place in a democratic assembly; classifier for banquets, conversations etc",ideographic,"A cloth 巾 or straw 艹 mat in the house 广"
帐,zhang4,"(bound form) curtain; tent; canopy; variant of 賬|账[zhang4]",pictophonetic,"curtain"
带,dai4,"band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise",ideographic,"A belt, creasing one's robe above 卅 but not below 巾"
帷,wei2,"curtain; screen",pictophonetic,"curtain"
常,chang2,"surname Chang",pictophonetic,"cloth"
常,chang2,"always; ever; often; frequently; common; general; constant",pictophonetic,"cloth"
帽,mao4,"hat; cap",pictophonetic,"towel"
帧,zhen1,"frame; classifier for paintings etc; Taiwan pr. [zheng4]",pictophonetic,"cloth"
帏,wei2,"curtain; women's apartment; tent",pictophonetic,"curtain"
幄,wo4,"tent",ideographic,"A room 屋 made of cloth 巾; 屋 also provides the pronunciation"
幅,fu2,"width; roll; classifier for textiles or pictures",ideographic,"A roll 畐 of cloth 巾; 畐 also provides the pronunciation"
帮,bang1,"old variant of 幫|帮[bang1]",ideographic,"A nation's 邦 flag 巾; 邦 also provides the pronunciation"
幌,huang3,"shop sign; (literary) window curtain",pictophonetic,"curtain"
徽,hui1,"old variant of 徽[hui1]",,
幔,man4,"curtain",pictophonetic,"cloth"
幕,mu4,"curtain or screen; canopy or tent; headquarters of a general; act (of a play)",pictophonetic,"curtain"
帼,guo2,"cap worn by women; feminine",pictophonetic,"cloth"
帻,ze2,"turban; head-covering",pictophonetic,"towel"
幕,mu4,"old variant of 幕[mu4]; curtain; screen",pictophonetic,"curtain"
