id,name,latin,tone
917,xìn,xin,4
918,xīng,xing,1
919,xíng,xing,2
920,xǐng,xing,3
921,xìng,xing,4
922,xiōng,xiong,1
923,xióng,xiong,2
924,xiòng,xiong,4
925,xiū,xiu,1
926,xiǔ,xiu,3
927,xiù,xiu,4
928,xuē,xue,1
929,xué,xue,2
930,xuě,xue,3
931,xuè,xue,4
932,xū,xu,1
933,xú,xu,2
934,xǔ,xu,3
935,xù,xu,4
936,xuān,xuan,1
937,xuán,xuan,2
938,xuǎn,xuan,3
939,xuàn,xuan,4
940,xūn,xun,1
941,xún,xun,2
942,xùn,xun,4
943,zhā,zha,1
944,zhá,zha,2
945,zhǎ,zha,3
946,zhà,zha,4
947,zha,zha,
948,zhāi,zhai,1
949,zhái,zhai,2
950,zhǎi,zhai,3
951,zhài,zhai,4
952,zhān,zhan,1
953,zhǎn,zhan,3
954,zhàn,zhan,4
955,zhāng,zhang,1
956,zhǎng,zhang,3
957,zhàng,zhang,4
958,zhāo,zhao,1
959,zháo,zhao,2
960,zhǎo,zhao,3
961,zhào,zhao,4
962,zhē,zhe,1
963,zhé,zhe,2
964,zhě,zhe,3
965,zhè,zhe,4
966,zhe,zhe,
967,zhēn,zhen,1
968,zhěn,zhen,3
969,zhèn,zhen,4
970,zhēng,zheng,1
971,zhěng,zheng,3
972,zhèng,zheng,4
973,zhī,zhi,1
974,zhí,zhi,2
975,zhǐ,zhi,3
976,zhì,zhi,4
977,zhōng,zhong,1
978,zhǒng,zhong,3
979,zhòng,zhong,4
980,zhōu,zhou,1
981,zhóu,zhou,2
982,zhǒu,zhou,3
983,zhòu,zhou,4
984,zhū,zhu,1
985,zhú,zhu,2
986,zhǔ,zhu,3
987,zhù,zhu,4
988,zhuā,zhua,1
989,zhuǎ,zhua,3
990,zhuāi,zhuai,1
991,zhuǎi,zhuai,3
992,zhuài,zhuai,4
993,zhuān,zhuan,1
994,zhuǎn,zhuan,3
995,zhuàn,zhuan,4
996,zhuāng,zhuang,1
997,zhuǎng,zhuang,3
998,zhuàng,zhuang,4
999,zhuī,zhui,1
1000,zhuì,zhui,4
1001,zhūn,zhun,1
1002,zhǔn,zhun,3
1003,zhuō,zhuo,1
1004,zhuó,zhuo,2
1005,chā,cha,1
1006,chá,cha,2
1007,chǎ,cha,3
1008,chà,cha,4
1009,chāi,chai,1
1010,chái,chai,2
1011,chài,chai,4
1012,chān,chan,1
1013,chán,chan,2
1014,chǎn,chan,3
1015,chàn,chan,4
1016,chāng,chang,1
1017,cháng,chang,2
1018,chǎng,chang,3
1019,chàng,chang,4
1020,chāo,chao,1
1021,cháo,chao,2
1022,chǎo,chao,3
1023,chào,chao,4
1024,chē,che,1
1025,chě,che,3
1026,chè,che,4
1027,chēn,chen,1
1028,chén,chen,2
1029,chěn,chen,3
1030,chèn,chen,4
1031,chēng,cheng,1
1032,chéng,cheng,2
1033,chěng,cheng,3
1034,chèng,cheng,4
1035,chī,chi,1
1036,chí,chi,2
1037,chǐ,chi,3
1038,chì,chi,4
1039,chōng,chong,1
1040,chóng,chong,2
1041,chǒng,chong,3
1042,chòng,chong,4
1043,chōu,chou,1
1044,chóu,chou,2
1045,chǒu,chou,3
1046,chòu,chou,4
1047,chū,chu,1
1048,chú,chu,2
1049,chǔ,chu,3
1050,chù,chu,4
1051,chuā,chua,1
1052,chuāi,chuai,1
1053,chuǎi,chuai,3
1054,chuài,chuai,4
1055,chuān,chuan,1
1056,chuán,chuan,2
1057,chuǎn,chuan,3
1058,chuàn,chuan,4
1059,chuāng,chuang,1
1060,chuáng,chuang,2
1061,chuǎng,chuang,3
1062,chuàng,chuang,4
1063,chuī,chui,1
1064,chuí,chui,2
1065,chūn,chun,1
1066,chún,chun,2
1067,chǔn,chun,3
1068,chuō,chuo,1
1069,chuò,chuo,4
1070,shā,sha,1
1071,shá,sha,2
1072,shǎ,sha,3
1073,shà,sha,4
1074,shāi,shai,1
1075,shǎi,shai,3
1076,shài,shai,4
1077,shān,shan,1
1078,shǎn,shan,3
1079,shàn,shan,4
1080,shāng,shang,1
1081,shǎng,shang,3
1082,shàng,shang,4
1083,shang,shang,
1084,shāo,shao,1
1085,sháo,shao,2
1086,shǎo,shao,3
1087,shào,shao,4
1088,shē,she,1
1089,shé,she,2
1090,shě,she,3
1091,shè,she,4
1092,shéi,shei,2
1093,shēn,shen,1
1094,shén,shen,2
1095,shěn,shen,3
1096,shèn,shen,4
1097,shēng,sheng,1
1098,shéng,sheng,2
1099,shěng,sheng,3
1100,shèng,sheng,4
1101,shī,shi,1
1102,shí,shi,2
1103,shǐ,shi,3
1104,shì,shi,4
1105,shi,shi,
1106,shōu,shou,1
1107,shǒu,shou,3
1108,shòu,shou,4
1109,shū,shu,1
1110,shú,shu,2
1111,shǔ,shu,3
1112,shù,shu,4
1113,shuā,shua,1
1114,shuǎ,shua,3
1115,shuà,shua,4
1116,shuāi,shuai,1
1117,shuǎi,shuai,3
1118,shuài,shuai,4
1119,shuān,shuan,1
1120,shuàn,shuan,4
1121,shuāng,shuang,1
1122,shuǎng,shuang,3
1123,shuǐ,shui,3
1124,shuì,shui,4
1125,shǔn,shun,3
1126,shùn,shun,4
1127,shuō,shuo,1
1128,shuò,shuo,4
1129,rán,ran,2
1130,rǎn,ran,3
1131,ráng,rang,2
1132,rǎng,rang,3
1133,ràng,rang,4
1134,ráo,rao,2
1135,rǎo,rao,3
1136,rào,rao,4
1137,rě,re,3
1138,rè,re,4
1139,rén,ren,2
1140,rěn,ren,3
1141,rèn,ren,4
1142,rēng,reng,1
1143,réng,reng,2
1144,rì,ri,4
1145,róng,rong,2
1146,rǒng,rong,3
1147,róu,rou,2
1148,ròu,rou,4
1149,rú,ru,2
1150,rǔ,ru,3
1151,rù,ru,4
1152,ruǎn,ruan,3
1153,ruí,rui,2
1154,ruǐ,rui,3
1155,ruì,rui,4
1156,rùn,run,4
1157,ruò,ruo,4
1158,zā,za,1
1159,zá,za,2
1160,zǎ,za,3
1161,zāi,zai,1
1162,zǎi,zai,3
1163,zài,zai,4
1164,zān,zan,1
1165,zán,zan,2
1166,zǎn,zan,3
1167,zàn,zan,4
1168,zāng,zang,1
1169,zǎng,zang,3
1170,zàng,zang,4
1171,zāo,zao,1
1172,záo,zao,2
1173,zǎo,zao,3
1174,zào,zao,4
1175,zé,ze,2
1176,zè,ze,4
1177,zéi,zei,2
1178,zěn,zen,3
1179,zèn,zen,4
1180,zēng,zeng,1
1181,zèng,zeng,4
1182,zī,zi,1
1183,zǐ,zi,3
1184,zì,zi,4
1185,zi,zi,
1186,zōng,zong,1
1187,zǒng,zong,3
1188,zòng,zong,4
1189,zōu,zou,1
1190,zǒu,zou,3
1191,zòu,zou,4
1192,zū,zu,1
1193,zú,zu,2
1194,zǔ,zu,3
1195,zuān,zuan,1
1196,zuǎn,zuan,3
1197,zuàn,zuan,4
1198,zuǐ,zui,3
1199,zuì,zui,4
1200,zūn,zun,1
1201,zǔn,zun,3
1202,zùn,zun,4
1203,zuō,zuo,1
1204,zuó,zuo,2
1205,zuǒ,zuo,3
1206,zuò,zuo,4
1207,cā,ca,1
1208,cǎ,ca,3
1209,cāi,cai,1
1210,cái,cai,2
1211,cǎi,cai,3
1212,cài,cai,4
1213,cān,can,1
1214,cán,can,2
1215,cǎn,can,3
1216,càn,can,4
1217,cāng,cang,1
1218,cáng,cang,2
1219,cāo,cao,1
1220,cáo,cao,2
1221,cǎo,cao,3
1222,cào,cao,4
1223,cè,ce,4
1224,cēn,cen,1
1225,cén,cen,2
1226,cēng,ceng,1
1227,céng,ceng,2
1228,cèng,ceng,4
1229,cī,ci,1
1230,cí,ci,2
1231,cǐ,ci,3
1232,cì,ci,4
1233,cōng,cong,1
1234,cóng,cong,2
1235,còu,cou,4
1236,cū,cu,1
1237,cú,cu,2
1238,cǔ,cu,3
1239,cù,cu,4
1240,cuān,cuan,1
1241,cuán,cuan,2
1242,cuàn,cuan,4
1243,cuī,cui,1
1244,cuǐ,cui,3
1245,cuì,cui,4
1246,cūn,cun,1
1247,cún,cun,2
1248,cǔn,cun,3
1249,cùn,cun,4
1250,cuō,cuo,1
1251,cuó,cuo,2
