id,form,meaning,type,etymology
9180,鞠,"surname Ju",pictophonetic,"leather"
9181,鞠,"to incline (one's torso); to bow; leather ball used in ancient times; (literary) to bring up; to rear; Taiwan pr. [ju2]",pictophonetic,"leather"
9182,鞣,"suede; chamois; tannin; to tan",ideographic,"To soften 柔 leather 革; 柔 also provides the pronunciation"
9183,秋,"used in 鞦韆|秋千[qiu1qian1]",ideographic,"The time of year when farmers would burn 禾 crops 火"
9184,鞫,"to interrogate; to question; Taiwan pr. [ju2]",pictophonetic,"crash"
9185,鞭,"whip or lash; to flog; to whip; conductor's baton; segmented iron weapon (old); penis (of animal, served as food)",pictophonetic,
9186,鞮,"surname Di",pictophonetic,"leather"
9187,鞮,"leather shoes",pictophonetic,"leather"
9188,鞲,"variant of 韝[gou1]",pictophonetic,"leather"
9189,鞴,"to saddle a horse",,
9190,鞋,"variant of 鞋[xie2]",pictophonetic,"leather"
9191,鞒,"the pommel and cantle of a saddle",pictophonetic,"leather"
9192,靴,"variant of 靴[xue1]",pictophonetic,"leather"
9193,缰,"bridle; reins; halter",pictophonetic,"thread"
9194,鞑,"Tartar; a tribe in China",pictophonetic,"leather"
9195,千,"used in 鞦韆|秋千[qiu1qian1]",,
9196,袜,"variant of 韤|袜[wa4]",pictophonetic,"clothes"
9197,鞯,"saddle blanket",pictophonetic,"leather"
9198,韦,"surname Wei",,
9199,韦,"soft leather",,
9200,韧,"annealed; pliable but strong; tough; tenacious",pictophonetic,"leather"
9201,韩,"Han, one of the Seven Hero States of the Warring States 戰國七雄|战国七雄; Korea from the fall of the Joseon dynasty in 1897; Korea, esp. South Korea 大韓民國|大韩民国; surname Han",,
9202,韪,"correct; right",pictophonetic,"right"
9203,韬,"bow case or scabbard; to hide; military strategy",pictophonetic,"leather"
9204,韫,"contain",pictophonetic,"leather"
9205,袜,"variant of 襪|袜[wa4]",pictophonetic,"clothes"
9206,韭,"leek",pictographic,"Chives 非 growing in the ground 一"
9207,韭,"variant of 韭[jiu3]",pictographic,"Chives 非 growing in the ground 一"
9208,韱,"wild onions or leeks",ideographic,"Harvesting 戈 scallions 韭"
9209,音,"sound; noise; note (of musical scale); tone; news; syllable; reading (phonetic value of a character)",ideographic,"A tongue 立 forming a sound in the mouth 日"
9210,韶,"surname Shao",ideographic,"Imperial 召 music 音; 召 also provides the pronunciation"
9211,韶,"(music); excellent; harmonious",ideographic,"Imperial 召 music 音; 召 also provides the pronunciation"
